GENE,aver.sec4.bs,aver.sec4.me,aver.sec9.bs,aver.sec9.me,aver.sec14.bs,aver.sec14.me,sder.sec4.bs,sder.sec4.me,sder.sec9.bs,sder.sec9.me,sder.sec14.bs,sder.sec14.me
GRMZM2G098637,0.014925373,0.045869162,0.100188636,0.381733517,0.334897298,1.087325581,0.014925373,0.026638393,0.044322714,0.00748804,0.009473563,0.482674419
GRMZM2G098643,0.021200524,0.038461538,0.008379888,0.015066447,0.006622517,0,0.006275151,0.038461538,0.008379888,0.009078423,0.006622517,0
GRMZM2G098656,0.028663211,0.018678829,0.008337193,0.011976048,0,0,0.001187535,0.00055194,0.008337193,0.011976048,0,0
GRMZM2G098667,1.182398046,1.081948662,0.906526147,1.010470013,0.485553939,0.615697674,0.122696553,0.331948662,0.400736422,0.11226642,0.01775732,0.034302326
GRMZM2G098674,0.006868919,0.009063444,0,0,0,0.005,0.006868919,0.009063444,0,0,0,0.005
GRMZM2G098676,0.053442578,0.1252203,0.022987054,0.013250762,0.047177574,0.026976744,0.012229064,0.004386954,0.000476633,0.006065133,0.002144461,0.013023256
GRMZM2G098677,0,0.018678829,0,0.003018109,0,0,0,0.00055194,0,0.003018109,0,0
GRMZM2G098679,0.124314325,0.100328258,0.552701223,0.368564478,0.359050766,0.163352712,0.026801892,0.009943643,0.062196352,0.031837939,0.059050771,0.025019382
GRMZM2G098696,0,0,0.011116258,0,0.016792008,0,0,0,0.011116258,0,0.003546975,0
GRMZM2G098697,0.006868919,0.037909598,0.009740957,0.042108941,0,0,0.006868919,0.019782709,0.004154365,0.006180798,0,0
